,time,open,high,low,close,tick_volume,spread,real_volume
1527,2023-06-01,1966.313,1983.086,1953.375,1977.068,106020,125,0
1528,2023-06-02,1977.07,1983.37,1947.618,1948.029,103364,125,0
1529,2023-06-04,1947.404,1950.133,1947.335,1949.368,4212,125,0
1530,2023-06-05,1949.381,1964.041,1938.085,1961.261,96574,125,0
1531,2023-06-06,1961.268,1966.414,1954.37,1963.383,89172,125,0
1532,2023-06-07,1963.353,1970.16,1939.876,1944.474,97628,125,0
1533,2023-06-08,1944.47,1970.543,1942.802,1965.354,94448,125,0
1534,2023-06-09,1965.35,1972.833,1956.605,1960.678,84886,125,0
1535,2023-06-11,1959.63,1960.535,1958.05,1959.97,3436,125,0
1536,2023-06-12,1959.979,1966.964,1949.193,1959.978,89355,125,0
1537,2023-06-13,1959.991,1970.829,1940.012,1943.922,106589,125,0
1538,2023-06-14,1943.928,1960.17,1939.71,1945.225,112293,125,0
1539,2023-06-15,1945.184,1960.232,1924.913,1958.261,113432,125,0
1540,2023-06-16,1958.261,1967.885,1953.25,1957.478,95034,125,0
1541,2023-06-18,1958.538,1958.598,1956.272,1957.075,3500,125,0
1542,2023-06-19,1957.083,1958.749,1947.771,1952.235,61185,125,0
1543,2023-06-20,1952.42,1956.764,1929.659,1937.269,99546,125,0
1544,2023-06-21,1937.263,1939.469,1918.943,1933.877,106591,125,0
1545,2023-06-22,1933.876,1934.235,1912.393,1914.477,95158,125,0
1546,2023-06-23,1914.477,1937.287,1910.129,1921.229,95712,125,0
1547,2023-06-25,1922.989,1925.44,1922.719,1925.332,4403,125,0
1548,2023-06-26,1925.331,1933.317,1920.94,1922.522,93535,0,0
1549,2023-06-27,1922.601,1930.739,1910.837,1915.422,282019,0,0
1550,2023-06-28,1915.489,1917.274,1902.635,1909.719,282866,0,0
1551,2023-06-29,1909.812,1913.062,1892.984,1908.698,305338,0,0
1552,2023-06-30,1908.792,1922.793,1900.527,1919.371,288164,0,0
1553,2023-07-02,1918.589,1919.622,1917.502,1918.207,3356,125,0
1554,2023-07-03,1918.201,1930.766,1910.041,1921.219,78954,125,0
1555,2023-07-04,1921.218,1930.683,1920.062,1926.213,55155,125,0
1556,2023-07-05,1926.285,1934.88,1914.803,1916.809,87098,125,0
1557,2023-07-06,1916.821,1927.586,1902.643,1911.554,102448,125,0
1558,2023-07-07,1911.581,1934.883,1909.662,1925.377,93286,125,0
1559,2023-07-09,1925.326,1928.178,1923.88,1924.886,4498,125,0
1560,2023-07-10,1924.895,1926.918,1912.457,1924.859,82784,125,0
1561,2023-07-11,1924.86,1938.442,1924.444,1933.278,81745,125,0
1562,2023-07-12,1933.281,1959.656,1933.208,1957.75,94143,125,0
1563,2023-07-13,1957.751,1963.418,1952.369,1960.172,92534,125,0
1564,2023-07-14,1960.162,1963.709,1950.796,1955.262,88720,125,0
1565,2023-07-16,1955.013,1955.013,1951.392,1953.319,4147,125,0
1566,2023-07-17,1953.318,1959.838,1945.666,1955.435,81208,125,0
1567,2023-07-18,1955.433,1984.326,1954.715,1977.518,102250,125,0
1568,2023-07-19,1977.501,1980.897,1969.767,1977.72,83600,125,0
1569,2023-07-20,1977.698,1987.458,1965.358,1972.234,89861,125,0
1570,2023-07-21,1972.264,1973.773,1956.718,1961.888,82106,125,0
1571,2023-07-23,1962.265,1962.92,1960.388,1961.214,2977,125,0
1572,2023-07-24,1961.21,1967.843,1953.212,1954.43,85905,125,0
1573,2023-07-25,1954.431,1966.28,1951.918,1965.321,82872,125,0
1574,2023-07-26,1965.321,1978.281,1962.039,1972.046,94440,125,0
1575,2023-07-27,1972.05,1982.171,1942.206,1947.48,107156,125,0
1576,2023-07-28,1947.449,1963.497,1946.092,1959.221,106929,125,0
1577,2023-07-30,1959.912,1960.507,1957.411,1958.107,3974,125,0
1578,2023-07-31,1958.092,1972.364,1950.774,1963.944,82366,125,0
1579,2023-08-01,1963.913,1964.665,1941.247,1952.183,91645,125,0
1580,2023-08-02,1952.178,1954.789,1932.953,1936.037,90725,125,0
1581,2023-08-03,1936.063,1938.86,1929.534,1935.812,92162,125,0
1582,2023-08-04,1935.785,1946.827,1925.289,1942.521,88438,125,0
1583,2023-08-06,1942.598,1946.685,1942.453,1943.827,4335,125,0
1584,2023-08-07,1943.822,1945.305,1931.479,1936.77,72144,125,0
1585,2023-08-08,1936.8,1937.343,1922.621,1925.607,80983,125,0
1586,2023-08-09,1925.612,1932.242,1914.058,1916.726,74620,125,0
1587,2023-08-10,1916.726,1929.701,1910.769,1912.395,90636,125,0
1588,2023-08-11,1912.395,1920.92,1911.895,1913.823,72497,125,0
1589,2023-08-13,1913.703,1915.218,1912.432,1913.658,3275,125,0
1590,2023-08-14,1913.657,1916.194,1902.577,1907.595,77694,125,0
1591,2023-08-15,1907.605,1911.6,1896.32,1901.457,89226,125,0
1592,2023-08-16,1901.449,1907.183,1891.727,1893.333,78579,125,0
1593,2023-08-17,1893.335,1903.45,1885.033,1891.264,81700,125,0
1594,2023-08-18,1891.269,1896.684,1886.762,1889.566,71991,125,0
1595,2023-08-20,1889.395,1890.861,1888.838,1889.956,3178,125,0
